Dataset Name,Country Code,State Code,Institution,Source ,Source URL,Number of Participants,# of samples,Disease category,Diagnoses Represented,Speech Task(s),Language,Speakers details,Demographics, Accessibility,Access instructions,License Type
Cantonese PWAs,HKG,,University of Hong Kong/University of Central Florida,AphasiaBank,https://aphasia.talkbank.org/access/Cantonese/Protocol/HKU.html,7,Not reported,Neuro,"Aphasia, Control","free speech, prompted speech",Cantonese,"Aphasia: 7, Controls 2","age, gender, education",Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
CC Stark Corpus,USA,IN,Indiana University,AphasiaBank,https://aphasia.talkbank.org/access/English/Protocol/CC.html,6,Not reported,Neuro,Aphasia,"free speech, prompted speech",English,Aphasia: 6,Not reported,Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
ChialFlahive Corpus,USA,IL,"Rehabilitation Institute of Chicago, Calvin College, Triangle Aphasia Groups, Private Practice of James F. Naas",AphasiaBank,https://aphasia.talkbank.org/access/English/NonProtocol/ChialFlahive.html,30,Not reported,Neuro,Aphasia,"free speech, prompted speech",English,Aphasia: Not reported,Not reported,Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
CHI-MEI Mood Database,TWN,,Chi-Mei Medical Center,"Huang, K. Y., Wu, C. H., Kuo, Y. T., Yen, H. H., Jang, F. L., & Chiu, Y. H. (2015, December). Data collection of elicited facial expressions and speech responses for mood disorder detection. In 2015 International Conference on Orange Technologies (ICOT) (pp. 42-45). IEEE.",https://ieeexplore.ieee.org/document/7498502,45,1350,Mood,"Major Depressive Disorder (MDD), Bipolar Disorder, Control","free speech, prompted speech",Taiwanese,"Unipolar Depression: 15, Bipolar Depression: 15, Controls: 15","age, sex",Safeguarded,Contact corresponding author,Not reported
Coelho Corpus,USA,CT,University of Connecticut,TBIBank,https://tbi.talkbank.org/access/English/Coelho.html,55,Not reported,Neuro,"Closed Head Injury, Control","free speech, prompted speech",English,"Closed Head Injuries: 55, Controls: 52","age, sex, education, class",Safeguarded,"Access to the data in TBIBank is password protected and restricted to members of the TBIBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
ColinLeMeur Discourse Protocol,FRA,,Université Paul Sabatier,AphasiaBank,https://aphasia.talkbank.org/access/French/Protocol/ColinLeMeur.html,14,Not reported,Neuro,Aphasia,"free speech, prompted speech",French,"Aphasia: 11, Controls: 14 ","age, sex, education",Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Corpus of Dutch Aphasic Speech (CoDAS),NLD,,Utrecht University,"Westerhout, E., & Monachesi, P. (2006, May). A pilot study for a Corpus of Dutch Aphasic Speech (CoDAS). In LREC (pp. 1648-1653).",https://www.clinjournal.org/CLIN_proceedings/XVI/westerhout.pdf,6,Not reported,Voice,Aphasia,"free speech, prompted speech",Dutch,Aphasia: 6,"age, gender, place of residence",Safeguarded,Contact corresponding author,Not reported
CREMA-D (Crowd-sourced Emotional Multimodal Actors Dataset),USA,PA,University of Pennsylvania,GitHub,https://github.com/CheyneyComputerScience/CREMA-D,91,7442,Norm,Control,"free speech, prompted speech",Not reported,"Controls: 91 (43F, 48M)","age, gender, race, ethnicity",Open,Data is downloadable from landing page,Open Database License (ODbL)
Croatian PWAs,HRV,,"SUVAG Polyclinic, University of Zagreb",AphasiaBank,https://aphasia.talkbank.org/access/Croatian/Protocol/Zagreb.html,20,Not reported,Neuro,Aphasia,"free speech, prompted speech",Croatian,"Aphasia: 20 (10 Fluent, 10 Non-Fluent)",Not reported,Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Data for: New Spanish speech corpus database for the analysis of people suffering from Parkinson’s disease,COL,,"Clinica Noel, Universidad de Antioquia","Orozco-Arroyave, J. R., Arias-Londoño, J. D., Vargas-Bonilla, J. F., Gonzalez-Rátiva, M. C., & Nöth, E. (2014, May). New Spanish speech corpus database for the analysis of people suffering from Parkinson's disease. In Lrec (pp. 342-347).",http://www.lrec-conf.org/proceedings/lrec2014/pdf/7_Paper.pdf,50,Not reported,"Neuro, Voice","Parkinson's Disease (PD), Control","free speech, prompted speech, reading, sustained vowel",Spanish,"Parkinson's Disorder: 50, Controls: 50","sex, age, time since diagnosis",Safeguarded,Contact corresponding author,Not reported
Data for: Voice analysis in adductor spasmodic dysphonia: Objective diagnosis and response to botulinum toxin,ITA,,"Movement Disorders Clinic at the Department of Human Neurosciences, Sapienza University of Rome, Italy","Suppa, A., Asci, F., Saggio, G., Marsili, L., Casali, D., Zarezadeh, Z., ... & Costantini, G. (2020). Voice analysis in adductor spasmodic dysphonia: Objective diagnosis and response to botulinum toxin. Parkinsonism & Related Disorders, 73, 23-30.",https://www.sciencedirect.com/science/article/pii/S1353802020300687?casa_token=lWJvOo1KCmwAAAAA:NmUe6c8gMhCzyPAShiGtUt5VAqjqj1MPJSI8sw_5q1zFmcx3FGmmobFiTjpzcsoz-s-CiRMVRQ#sec2,120,155,Voice,"Spasmodic Dysphonia (SD), Control","reading, sustained vowel",Italian,"ADSD: 60, Controls: 60","age, gender, weight, height",Safeguarded,Contact corresponding author,Not reported
Data for: Voice tremor outcomes of subthalamic nucleus and zona incerta deep brain stimulation in patients with Parkinson’s disease,SWE,,Umea University,Mendeley Data,https://data.mendeley.com/datasets/44c93kk73t/1,22,2640,"Neuro, Voice",Parkinson's Disease (PD),sustained vowel,Not reported,Parkinson's Disease: 22,"age, sex",Open,Data is downloadable from landing page,Creative Commons CC BY 4.0
Delaware Corpus,USA,DE,University of Delaware,DementiaBank,https://dementia.talkbank.org/access/English/Protocol/Delaware.html,70,Not reported,Neuro,"Mild Cognitive Impairment (MCI), Control","free speech, prompted speech",English,"Mild Cognitive Impairment: 46, Controls: 24",Not reported,Safeguarded,"Access to the data in DementiaBank is password protected and restricted to members of the DementiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Dem@Care - GAADRD,GRC,,Greek Alzheimer’s Association for Dementia and Related Disorders,STARS (Spatio-Temporal Activity Recognition Systems),https://team.inria.fr/stars/en/demcare-gaadrd-dataset/,25,25,Neuro,"Alzheimer's Disease, Mild Cognitive Impairment (MCI), Dementia","free speech, reading",Greek,Not reported,"age, gender",Safeguarded,Contact PI,Not reported
Depression and Anxiety Crowdsourced Corpus (DEPAC),CAN,35,Winterlight Labs,"Tasnim, M., Ehghaghi, M., Diep, B., & Novikova, J. (2022, July). DEPAC: a Corpus for Depression and Anxiety Detection from Speech. In Proceedings of the Eighth Workshop on Computational Linguistics and Clinical Psychology (pp. 1-16).",https://aclanthology.org/2022.clpsych-1.1/,571,2674,Mood,"Depression, Anxiety, Control","prompted speech, sustained vowel",English,Not reported,"age, gender, education",Safeguarded,Contact corresponding author,Not reported
Distress Analysis Interview Corpus Wizard -of-Oz (DAIC-WOZ),USA,CA,University of Southern California,USC Institute for Creative Technologies,https://dcapswoz.ict.usc.edu/daic-woz-database-download/,189,189,Mood,"Anxiety, Depression, Post-Traumatic Stress Disorder (PTSD)",free speech,English,Not reported,"age, gender",Safeguarded,Submit signed end-user license-agreement,End User License Agreement
Duquesne University Aphasia Group Corpus,USA,PA,Speech-Language-Hearing Clinic at Duquesne University,AphasiaBank,https://aphasia.talkbank.org/access/English/Group/Duquesne.html,Not reported,58,Neuro,"Aphasia, Apraxia, Dysarthria",free speech,English,Not reported,Not reported,Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Early Mental Health Uncovering (EMU) dataset,USA,MA,Worcester Polytechnic Institute,GitHub,https://github.com/mltlachac/EMU,60,120,Mood,"Depression, Anxiety, Control","free speech, reading",English,"Mental Disorders: 346, Controls: 363","age, gender, education, student status",Open,Data is downloadable from landing page,Not reported
Elman Corpus,USA,CA,Aphasia Center of California,AphasiaBank,https://aphasia.talkbank.org/access/English/Protocol/Elman.html,15,Not reported,Neuro,Aphasia,"free speech, prompted speech",English,Aphasia: 15,Not reported,Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Famous People Corpus,USA,AZ,"University of Arizona, 12 Aphasia Centers around North America",AphasiaBank,https://aphasia.talkbank.org/access/English/Famous.html,107,Not reported,Neuro,Aphasia,"free speech, prompted speech",English," Aphasia: 77, Controls: 30","age, gender, education",Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Far East Memorial Hospital (FEMH) Voice Database,TWN,,Far Eastern Memorial Hospital,Yadong Hospital Voice Database,http://www.femh-voice-database.org/,200,Not reported,Voice,Dysphonia (various),sustained vowel,Chinese,"Neoplasm: 40, Phonotrauma: 60, Vocal Palsy: 46, Controls: 50 ","age, sex",Safeguarded,Contact PI,Not reported
Fridriksson Clinical Research Corpus,USA,SC, Aphasia Lab at the University of South Carolina,AphasiaBank,https://aphasia.talkbank.org/access/English/NonProtocol/Fridriksson.html,19,Not reported,Neuro,Aphasia,prompted speech,English,Aphasia: 19,"gender, age, handedness",Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Fridriksson Corpus,USA,SC, Aphasia Lab at the University of South Carolina,AphasiaBank,https://aphasia.talkbank.org/access/English/Protocol/Fridriksson.html,13,Not reported,Neuro,Aphasia,"free speech, prompted speech",English,Aphasia: 13,Not reported,Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Fridricksson-2 Corpus,USA,SC, Aphasia Lab at the University of South Carolina,AphasiaBank,https://aphasia.talkbank.org/access/English/Protocol/Fridriksson-2.html,68,Not reported,Neuro,Aphasia,"free speech, prompted speech",English,Aphasia: 68,Not reported,Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.1
Fridriksson Script Corpus,USA,SC, Aphasia Lab at the University of South Carolina,AphasiaBank,https://aphasia.talkbank.org/access/English/Script/Fridriksson.html,13,Not reported,Neuro,Aphasia,reading,English,Aphasia: 13,"age, gender, handedness",Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Greek Aphasia Error Corpus (GRAEC),GRC,,"Neuropsychology and Language Disorders Unit of the 1st Neurology Department of the National and Kapodistrian University of Athens, at Eginition Hospital",Greek Aphasia Error Corpus (GRAEC),http://aphasia.phil.uoa.gr/?en,16,"17,507",Neuro,Aphasia,"free speech, prompted speech",Greek,Aphasia: Not reported,"age, sex, education, handedness",Safeguarded,Contact PI,Not reported
Greek Corpus of Aphasic Discourse (GREECAD),GRC,,University of Athens,"Varlokosta, S., Stamouli, S., Karasimos, A., Markopoulos, G., Kakavoulia, M., Nerantzini, M., ... & Protopapas, A. (2016, May). A Greek Corpus of Aphasic Discourse: collection, transcription, and annotation specifications. In Proceedings of LREC 2016 Workshop. Resources and Processing of Linguistic and Extra-Linguistic Data from People with Various forms of Cognitive/Psychiatric Impairments (pp. 14-21).",http://www.lrec-conf.org/proceedings/lrec2016/workshops/LREC2016Workshop-RaPID2016_Proceedings.pdf#page=20,25,100,Neuro,Aphasia,"free speech, prompted speech",Greek," Aphasia: 18, Contols: 7","sex, age, education",Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Hopkins Corpus,USA,MD,Johns Hopkins University,AphasiaBank,Broken Link: https://aphasia.talkbank.org/access/English/Other/NonProtocol/Hopkins.html,26,Not reported,Neuro,Aphasia,prompted speech,English,Aphasia: 26,"sex, age, education",Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Hopkins Non-Protocol Corpus,USA,MD,Johns Hopkins University,RHDBank,https://rhd.talkbank.org/access/English/NonProtocol/Hopkins.html,42,Not reported,Neuro,Right Hemisphere Disorder (RHD),prompted speech,English,RHD: 42,"gender, date of birth, race, education, handedness",Safeguarded,"Access to the data in RHDBank is password protected and restricted to members of the RHDBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Hopkins PPA Corpus,USA,MD,Johns Hopkins University,DementiaBank,https://dementia.talkbank.org/access/English/Hopkins.html,36,50,Neuro,Primary Progressive Aphasia (PPA),"prompted speech, reading",English,"Primary Progressive Aphasia: 36 (23F, 13M)","age, education, sex, race",Safeguarded,"Access to the data in DementiaBank is password protected and restricted to members of the DementiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Hospital Universitario Principe de Asturias (HUPA) database ,ESP,,Hospital Universitario Principe de Asturias ,Python Package Index-hupa-voicedb 0.1.1,https://pypi.org/project/hupa-voicedb/,439,Not reported,Voice,Dysphonia (various),sustained vowel,Spanish,"Voice Disorders: 200, Controls: 239",Not reported,Open,Data is downloadable from landing page,GNU General Public License v2 (GPLv2) (GPL-2.0 License)
Italian Parkinson’s Voice and Speech Database,ITA,,Università degli Studi di Bari,IEEE DataPort,https://ieee-dataport.org/open-access/Italian-parkinsons-voice-and-speech,65,Not reported,"Neuro, Voice","Parkinson's Disease (PD), Control","reading, sustained vowel",Italian," Parkinson's: 28, Controls: 37","gender, age, nationality",Open,Create IEEE Dataport account,Creative Commons CC BY 4.0
Italian PWAs,ITA,,University of Nova Gorica,AphasiaBank,https://aphasia.talkbank.org/access/Italian/Protocol/Andreetta.html,10,Not reported,Neuro,Aphasia,"free speech, prompted speech",Italian,Aphasia: 10,Not reported,Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Ivanova Corpus,ESP,,University of Salamanca,DementiaBank,https://dementia.talkbank.org/access/Spanish/Ivanova.html,361,Not reported,Neuro,"Alzheimer's Disease, Mild Cognitive Impairment (MCI), Control",reading,Spanish,"Mild Cognirtive Impairment: 90, Alzheimer's: 74, Controls: 197","age, sex, years of education",Safeguarded,"Access to the data in DementiaBank is password protected and restricted to members of the DementiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
James Mundt 35 Speaker Database,USA,WI,Healthcare Technology Systems,"Mundt, J. C., Snyder, P. J., Cannizzaro, M. S., Chappie, K., & Geralts, D. S. (2007). Voice acoustic measures of depression severity and treatment response collected via interactive voice response (IVR) technology. Journal of Neurolinguistics, 20(1), 50-64.",https://www.sciencedirect.com/science/article/pii/S0911604406000303,35,"1,224+",Mood,Depression,"free speech, prompted speech, reading, sustained vowel",English," Depression: 35 (20F, 15M)","sex, race, nationality, age",Safeguarded,Contact corresponding author,Not reported
Japanese PWAs,JPN,,Waseda University,AphasiaBank,https://aphasia.talkbank.org/access/Japanese/Protocol/TYO.html,11,Not reported,Neuro,Aphasia,"free speech, prompted speech",Japanese,"Aphasia: 9, Controls: 2","sex, race, ethnicity, handedness, accent, age, education, occupation",Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Not reported
JiangLin Mandarin PWAs,CHN,,Nanjing Medical University,AphasiaBank,https://aphasia.talkbank.org/access/Mandarin/Protocol/JiangLin.html,31,Not reported,Neuro,Aphasia,"free speech, prompted speech",Mandarin Chinese,"Aphasia: 9, Controls: 31","gender, age, education",Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Kassel State of Fluency Dataset (KSoF),DEU,,"Technische Hauptschule Nürnberg
Technische Hochschule Nürnberg 
Technische Hochschule Nürnberg 
Technische Hochschule Nürnberg",KSoF: The Kassel State of Fluency Dataset – A Therapy Centered Dataset of Stuttering,https://th-nuernberg.github.io/kassel-state-of-fluency/,37,5597,Neuro,Stuttering,"free speech, reading",German,"Stuttering: 37 (9F, 28M)",gender,Safeguarded,Submit signed end-user license-agreement. Request download access for dataset.,End User License Agreement
Kempler Corpus,USA,MA,Emerson College,DementiaBank,https://dementia.talkbank.org/access/English/Kempler.html,6,Not reported,Neuro,Alzheimer's Disease,"free speech, prompted speech",English,Dementia: 6,"age, education, sex, occupation",Safeguarded,"Access to the data in DementiaBank is password protected and restricted to members of the DementiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Kurland Non-Protocol Corpus,USA,MA,University of Massachusetts Amherst,AphasiaBank,https://aphasia.talkbank.org/access/English/NonProtocol/Kurland.html,16,Not reported,Neuro,Aphasia,prompted speech,English,Aphasia: 16,"age, gender, race, handedness, vision, hearing,	education, occupation, employment  status, birth country, years in US, number of languages spoken, primary language",Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Kurland Protocol Corpus,USA,MA,University of Massachusetts Amherst,AphasiaBank,https://aphasia.talkbank.org/access/English/Protocol/Kurland.html,29,Not reported,Neuro,Aphasia,"free speech, prompted speech",English,Aphasia: 29,Not reported,Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Lanzi Corpus,USA,DE,University of Delaware,DementiaBank,https://dementia.talkbank.org/access/English/Lanzi.html,6,Not reported,Neuro,Mild Neurocognitive Disorder (mNCD),free speech,English,Mild Neurocognitive Disorder: 6,"age, education",Safeguarded,"Access to the data in DementiaBank is password protected and restricted to members of the DementiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
LibriSpeech,USA,MD,Johns Hopkins University,Open SLR,https://www.openslr.org/12,Not reported,1000,Neuro,Control,reading,English,"Speech Disorders: 346, Controls: 363",Not reported,Open,Data is downloadable from landing page,Creative Commons CC BY 4.0
LibriStutter,CAN,35,Queen's University,Borealis: The Canadian Dataverse Repository,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/NKVOGQ,Not reported,20,Neuro,Stuttering,reading,English,"Stutter Disorders: 346, Controls: 363",Not reported,Open,Data is downloadable from landing page,Creative Commons CC BY-NC 4.0
LSVT Voice Rehabilitation,USA,CA,University of California Irvine,UC Irvine Machine Learning Repository,https://archive.ics.uci.edu/dataset/282/lsvt+voice+rehabilitation,14,126,"Neuro, Voice",Parkinson's Disease (PD),sustained vowel,English,Parkinson's: 14,"age, sex",Open,Data is downloadable from landing page,Creative Commons CC BY 4.0
Mandarin Lu Corpus,TWN,,National Tsing Hua University,DementiaBank,https://dementia.talkbank.org/access/Mandarin/Lu.html,52,Not reported,Neuro,Dementia,prompted speech,Mandarin Chinese,Dementia: 52,Not reported,Safeguarded,"Access to the data in DementiaBank is password protected and restricted to members of the DementiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Marshfield Corpus,USA,WI,University of Wisconsin-Madison Wisconsin,TBIBank,https://tbi.talkbank.org/access/English/Marshfield.html,12,Not reported,Neuro,Traumatic Brain Injury (TBI),"free speech, prompted speech",English,TBI: 12,"age, gender, race, handedness, vision, hearing,	education, occupation, employment  status, birth country, years in US, number of languages spoken, primary language",Safeguarded,"Access to the data in TBIBank is password protected and restricted to members of the TBIBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
